Time,PercentageEVcharging,Powerperchargingevent,Continousnoofchargingevents,Totalchargingpower,charging_duration_Min,Energychargingevent
19.36,69.76930438,20.23782922,363.6059812,7358.595751,5640.993418,1902.691024
19.68,70.65605329,20.49504653,368.2273145,7546.835943,5785.295636,1976.165054
19.77,71.53916391,20.75120849,372.8296866,7736.666558,5930.817049,2051.193685
19.86,72.40606762,21.00266935,377.3475957,7925.306784,6075.425926,2126.669365
19.86,73.26635628,21.2522114,381.8310302,8114.753772,6220.653256,2203.3773
20.05,74.12300666,21.50069809,386.2955035,8305.622997,6366.970852,2281.571968
20.14,74.96973444,21.74630657,390.7082648,8496.461706,6513.265055,2360.657644
20.18,75.80323211,21.98807741,395.0520768,8686.435644,6658.896337,2440.272135
20.32,76.62680718,22.22697002,399.3441766,8876.211043,6804.375423,2520.677476
20.32,77.44045966,22.46298441,403.5845644,9065.713781,6949.64549,2601.829639
20.32,78.24749708,22.69707999,407.7904776,9255.653088,7095.250225,2684.024365
